item_id,item_name,Family,Itur,Items multiplication
6070,עדשות מגע יומיות - מידה 5.75 ,,6,
6071,עדשות מגע יומיות - מידה 6 ,,6,
2499,עדשות מגע סיליקון חודשיות מידה - 1.5 ,,7,
7847,עדשות מגע סיליקון חודשיות מידה - 1.75 ,,7,
7848,עדשות מגע סיליקון חודשיות מידה - 2 ,,7,
7849,עדשות מגע סיליקון חודשיות מידה - 2.25 ,,7,
7850,עדשות מגע סיליקון חודשיות מידה - 2.5 ,,7,
7851,עדשות מגע סיליקון חודשיות מידה - 2.75 ,,7,
7852,עדשות מגע סיליקון חודשיות מידה - 3 ,,7,
7853,עדשות מגע סיליקון חודשיות מידה - 3.25 ,,7,
7854,עדשות מגע סיליקון חודשיות מידה - 3.5 ,,7,
7855,עדשות מגע סיליקון חודשיות מידה - 3.75 ,,7,
7856,עדשות מגע סיליקון חודשיות מידה - 4 ,,7,
7857,עדשות מגע סיליקון חודשיות מידה - 4.25 ,,7,
7858,עדשות מגע סיליקון חודשיות מידה - 4.5 ,,7,
7859,עדשות מגע סיליקון חודשיות מידה - 4.75 ,,7,
7860,עדשות מגע סיליקון חודשיות מידה - 5 ,,7,
7861,עדשות מגע סיליקון חודשיות מידה - 5.25 ,,7,
7862,עדשות מגע סיליקון חודשיות מידה - 5.5 ,,7,
7863,עדשות מגע סיליקון חודשיות מידה - 5.75 ,,7,
7864,עדשות מגע סיליקון חודשיות מידה - 6 ,,7,
7865,עדשות מגע סיליקון חודשיות מידה - 6.5 ,,7,
2498,עדשות מגע סיליקון חודשיות מידה - 7 ,,7,
5304,עדשות מגע סיליקון חודשיות מידה - 7.5 ,,7,
2030,שישיית ירכוני נשים 40 דנייר מלון - colanta ,,8,
5837,שישיית ירכוני נשים 40 דנייר ויזון - colanta ,,9,
5617,שישיית ירכוני נשים 40 דנייר שחור - colanta ,,10,
5384,שישיית ירכוני נשים 50 דנייר אטום מלון,,11,
5753,שישיית ירכוני נשים 50 דנייר אטום ויזון - colanta,,12,
6164,שישיית ירכוני נשים 50 דנייר אטום שחור - colanta ,,13,
5383,שישיית ירכוני נשים 60 דנייר מלון - colanta,,14,
5754,שישיית ירכוני נשים 70 דנייר אטום מלון - colanta,,15,
2380,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה M,,16,
2381,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה L,,17,
2382,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה XL,,18,
2383,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה XXL,,19,
5609,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה M ,,20,
5610,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה L,,21,
5611,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה XL,,22,
5612,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה XXL,,23,
5613,שישיית גרביונים לנשים 40 דנייר שחור - colanta -מידה M,,24,
5614,שישיית גרביונים לנשים 40 דנייר שחור - colanta -מידה L,,25,
5615,שישיית גרביונים לנשים 40 דנייר שחור - colanta -מידה XL,,26,
5616,שישיית גרביונים לנשים 40 דנייר שחור - colanta -מידה XXL,,27,
7313,שישיית גרביונים לנשים 50 דנייר אטום מלון - colanta - מידה M,,28,
7312,שישיית גרביונים לנשים 50 דנייר אטום מלון - colanta - מידה L,,29,
7314,שישיית גרביונים לנשים 50 דנייר אטום מלון - colanta - מידה XL,,30,
7315,שישיית גרביונים לנשים 50 דנייר אטום מלון - colanta - מידה XXL,,31,
7976,שישיית גרביונים לנשים 50 דנייר אטום שחור - colanta - מידה M,,32,
7977,שישיית גרביונים לנשים 50 דנייר אטום שחור - colanta - מידה L,,33,
7978,שישיית גרביונים לנשים 50 דנייר אטום שחור - colanta - מידה XL,,34,
7979,שישיית גרביונים לנשים 50 דנייר אטום שחור - colanta - מידה XXL,,35,
2234,שישיית גרביונים לילדות 50 דנייר כחול אטום - מידה 4-6,,36,
2235,שישיית גרביונים לילדות 50 דנייר כחול אטום - מידה 6-8,,37,
2236,שישיית גרביונים לילדות 50 דנייר כחול אטום - מידה 8-10,,38,
2237,שישיית גרביונים לילדות 50 דנייר כחול אטום - מידה 10-12,,39,
2238,שישיית גרביונים לילדות 50 דנייר כחול אטום - מידה 12-14,,40,
6406,שישיית גרביונים לילדות 50 דנייר כחול אטום - מידה 14-16,,41,
7980,שישיית גרביונים לילדות 48 דנייר שחור - מידה 2-4 ,,42,
7885,שישיית גרביונים לילדות 48 דנייר שחור - מידה 4-6,,43,
7886,שישיית גרביונים לילדות 48 דנייר שחור - מידה 6-8,,44,
7887,שישיית גרביונים לילדות 48 דנייר שחור - מידה 8-10,,45,
7888,שישיית גרביונים לילדות 48 דנייר שחור - מידה 10-12,,46,
7889,שישיית גרביונים לילדות 48 דנייר שחור - מידה 12-14,,47,
7890,שישיית גרביונים לילדות 48 דנייר שחור - מידה 14-16,,48,
5978,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 4-6,,49,
5979,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 6-8,,50,
5980,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 8-10,,51,
5981,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 10-12,,52,
5982,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 12-14,,53,
5983,שישיית גרביונים לילדות 50 דנייר אטום מלון - מידה 14-16,,54,
7770,שלישיית גרביונים לנשים 60 דנייר שחור פלמינגו מידה M,,55,
7772,שלישיית גרביונים לנשים 60 דנייר שחור פלמינגו מידה XL,,56,
7773,שלישיית גרביונים לנשים 60 דנייר שחור פלמינגו מידה XXL,,57,
7964,שישיית גרביונים לילדות 48 דנייר מלון - מידה 2-4 ,,58,
5145,שישיית גרביונים לילדות 48 דנייר מלון - מידה 4-6 ,,59,
5141,שישיית גרביונים לילדות 48 דנייר מלון - מידה 6-8,,60,
5142,שישיית גרביונים לילדות 48 דנייר מלון - מידה 8-10 ,,61,
5143,שישיית גרביונים לילדות 48 דנייר מלון - מידה 10-12 ,,62,
5144,שישיית גרביונים לילדות 48 דנייר מלון - מידה 12-14 ,,63,
5836,שישיית גרביונים לילדות 48 דנייר מלון - מידה 14-16 ,,64,
8156,זוג גרביון ילדות 80 דנייר שחור מידה 2-4,,65,
8157,זוג גרביון ילדות 80 דנייר שחור מידה 4-6,,66,
2449,שישיית ירכוני סיליקון לנשים 40 דנייר מלון - colanta - מידה s/m,,67,
8159,זוג גרביון ילדות 80 דנייר שחור מידה 8-10,,68,
8160,זוג גרביון ילדות 80 דנייר שחור מידה 10-12,,69,
8161,זוג גרביון ילדות 80 דנייר שחור מידה 12-14,,70,
8099,זוג ירך דונה 80 דנייר אטום שחור,,71,
8083,מטפחת מרובעת חלקה עם פרנזים צבע פודרה,,72,
8141,מטפחת מרובעת חלקה עם פרנזים צבע סגול חציל,,73,
8139,מטפחת מרובעת חלקה עם פרנזים צבע כחול נייבי,,74,
8142,מטפחת מרובעת חלקה עם פרנזים צבע כחול בהיר,,75,
8081,מטפחת מרובעת חלקה עם פרנזים צבע ירוק בקבוק,,76,
8082,מטפחת מרובעת חלקה עם פרנזים צבע חרדל,,77,
8084,מטפחת מרובעת חלקה עם פרנזים צבע חום כהה,,78,
8140,מטפחת מרובעת חלקה עם פרנזים צבע בורדו,,79,
8138,מטפחת מרובעת חלקה עם פרנזים צבע אפרסק,,80,
8080,מטפחת מרובעת חלקה עם פרנזים צבע אפור כהה,,81,
8137,מטפחת מרובעת חלקה עם פרנזים צבע אפור בהיר,,82,
8079,מטפחת מרובעת חלקה עם פרנזים צבע אפור אבן,,83,
7305,מטפחת מרובעת חלקה בצבע שחור,,84,
7307,מטפחת מרובעת חלקה בצבע ורוד עתיק ,,85,
7634,מטפחת מרובעת חלקה בצבע תכלת,,86,
7765,מטפחת מרובעת חלקה בצבע פודרה,,87,
7884,מטפחת מרובעת חלקה בצבע ירוק חאקי,,88,
5835,ניפוץ לשמה - פתיל עבה,,89,
1948,"פתיל דק - בד""ץ העד""ח",,90,
7755,גופיות גברים כתפיות מידה XXXL - שלישייה,,91,
1942,בד לציצית 100% כותנה מידה 8,,92,
1943,בד לציצית 100% כותנה מידה 9,,93,
1944,בד לציצית 100% כותנה מידה 10,,94,
2384,זוג גופיות ציצית לילדים - מידה 2,,95,
2385,זוג גופיות ציצית לילדים - מידה 4,,96,
2460,זוג גופיות ציצית לילדים - מידה 6,,97,
5020,זוג גופיות ציצית לילדים - מידה 8,,98,
5377,זוג גופיות ציצית לילדים - מידה 10,,99,
2075,גופיות ילדים כתפיות - מידה 2 שלישייה,,100,
1928,גופיות ילדים כתפיות - מידה 4 שלישייה,,101,
1929,גופיות ילדים כתפיות - מידה 6 שלישייה,,102,
1930,גופיות ילדים כתפיות - מידה 8 שלישייה,,103,
1933,גופיות ילדים כתפיות - מידה 10 שלישייה,,104,
1934,גופיות ילדים כתפיות - מידה 12 שלישייה,,105,
1931,גופיות ילדים כתפיות - מידה 14 שלישייה,,106,
1932,גופיות ילדים כתפיות - מידה 16 שלישייה,,107,
6407,גופיות ילדים כתפיות - מידה 18 שלישייה,,108,
784,זוג ציציות מוכנות לילדים מידה 2,,109,
1953,זוג ציציות מוכנות לילדים מידה 3,,110,
1950,זוג ציציות מוכנות לילדים מידה 4,,111,
1951,זוג ציציות מוכנות לילדים מידה 5,,112,
1952,זוג ציציות מוכנות לילדים מידה 6,,113,
2031,שישיית גרבי ילדים מידה 27-30,,114,
2461,שישיית ירכוני סיליקון לנשים 40 דנייר מלון - colanta - מידה l/xl,,115,
6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,,116,
6705,תשיעיית גרבי גברים מעוצבות 42-46 - אריזת חיסכון,,117,
2032,שישיית גרבי ילדים מידה 31-34,,118,
2033,שישיית גרבי נוער מידה 35-38,,119,
750,שישיית גרבי גברים מידה 39-41,,120,
2074,גופיית ילדות כתפיות מידה 2 - שלישייה,,121,
1937,גופיית ילדות כתפיות מידה 4 - שלישייה,,122,
1935,גופיית ילדות כתפיות מידה 6 - שלישייה,,123,
1936,גופיית ילדות כתפיות מידה 8 - שלישייה,,124,
1938,גופיית ילדות כתפיות מידה 10 - שלישייה,,125,
1939,גופיית ילדות כתפיות מידה 12 - שלישייה,,126,
1940,גופיית ילדות כתפיות מידה 14 - שלישייה,,127,
1941,גופיית ילדות כתפיות מידה 16 - שלישייה,,128,
6536,גופיית ילדות כתפיות מידה 18 - שלישייה,,129,
5149,זוג חולצות בסיס לבנות - מידה 6,,130,
5150,זוג חולצות בסיס לבנות - מידה 8,,131,
5151,זוג חולצות בסיס לבנות - מידה 10,,132,
5152,זוג חולצות בסיס לבנות - מידה 12,,133,
5153,זוג חולצות בסיס לבנות - מידה 14,,134,
5376,זוג חולצות בסיס לבנות - מידה 16,,135,
5310,זוג חולצות בסיס לבנות - מידה 18,,136,
7015,שמיניית לבנים צבעוניות ילדים מידה 2-4,,137,
7016,שמיניית לבנים צבעוניות ילדים מידה 4-6,,138,
7017,שמיניית לבנים צבעוניות ילדים מידה 6-8,,139,
7018,שמיניית לבנים צבעוניות ילדים מידה 8-10,,140,
7019,שמיניית לבנים צבעוניות ילדים מידה 10-12,,141,
7020,שמיניית לבנים צבעוניות ילדים מידה 12-14,,142,
7021,שמיניית לבנים צבעוניות ילדים מידה 14-16,,143,
1922,לבנים צבעוניות ילדות שמינייה מידה 2-4,,144,
1923,לבנים צבעוניות ילדות שמינייה מידה 4-6,,145,
1924,לבנים צבעוניות ילדות שמינייה מידה 6-8,,146,
1925,לבנים צבעוניות ילדות שמינייה מידה 8-10,,147,
1926,לבנים צבעוניות ילדות שמינייה מידה 10-12,,148,
1927,לבנים צבעוניות ילדות שמינייה מידה 12-14,,149,
2091,לבנים צבעוניות ילדות שמינייה מידה 14-16,,150,
2077,גופיות גברים כתפיות מידה S - שלישייה,,151,
2078,גופיות גברים כתפיות מידה M - שלישייה,,152,
2079,גופיות גברים כתפיות מידה L - שלישייה,,153,
2080,גופיות גברים כתפיות מידה XL- שלישייה,,154,
2081,גופיות גברים כתפיות מידה XXL - שלישייה,,155,
7299,חלוק מגבת לילדים עם כובע מידה 10-11,,156,
7429,זוג גופיות חצי שרוול איכותיות בגיר - מידה M,,157,
7430,זוג גופיות חצי שרוול איכותיות בגיר - מידה L,,158,
7431,זוג גופיות חצי שרוול איכותיות בגיר - מידה XL,,159,
7432,זוג גופיות חצי שרוול איכותיות בגיר - מידה 2XL,,160,
7435,זוג בוקסרים לגברים מידה S - בגיר,,161,
7436,זוג בוקסרים לגברים מידה M - בגיר,,162,
7437,זוג בוקסרים לגברים מידה L - בגיר,,163,
7438,זוג בוקסרים לגברים מידה XL - בגיר,,164,
7439,זוג בוקסרים לגברים מידה 2XL - בגיר,,165,
7440,זוג בוקסרים לגברים מידה 3XL - בגיר,,166,
8312,חליפת בנים חגיגית בגד גוף לבן ומכנס מידה 6-12,,167,
8313,חליפת בנים חגיגית בגד גוף לבן ומכנס מידה 12-18,,168,
8314,חליפת בנים חגיגית בגד גוף לבן ומכנס מידה 18-24,,169,
2402,חליפת טריקו קייצית לילדים - מידה 2,,170,
2403,חליפת טריקו קייצית לילדים - מידה 4,,171,
2404,חליפת טריקו קייצית לילדים - מידה 6,,172,
2405,חליפת טריקו קייצית לילדים - מידה 8,,173,
5302,חליפת טריקו קייצית לילדים - מידה 10,,174,
7303,חליפת טריקו קייצית לילדים - מידה 12,,175,
2199,כותונת אינטרלוק לילדות שרוול ארוך - מידה 6,,176,
2200,כותונת אינטרלוק לילדות שרוול ארוך - מידה 8,,177,
2201,כותונת אינטרלוק לילדות שרוול ארוך - מידה 10,,178,
2202,כותונת אינטרלוק לילדות שרוול ארוך - מידה 12,,179,
2203,כותונת אינטרלוק לילדות שרוול ארוך - מידה 14,,180,
5162,כותונת אינטרלוק לילדות שרוול ארוך - מידה 16,,181,
7175,טלית גדול 100% צמר - מידה 60,,182,
7211,טלית גדול 100% צמר - מידה 70,,183,
7604,טלית גדול 100% צמר - מידה 80,,184,
7564,שלישיית ירכוני כותנה לבן חלק מידת נעל 31-35,,185,
7565,שלישיית ירכוני כותנה לבן חלק מידת נעל 36-39,,186,
7566,שלישיית ירכוני כותנה לבן חלק מידת נעל 40-42,,187,
7290,חלוק מגבת לילדות עם כובע מידה 2-3,,188,
7295,חלוק מגבת לילדים עם כובע מידה 2-3,,189,
7180,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 1-3,,190,
7181,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 2-4,,191,
7182,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 4-6,,192,
7183,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 6-8,,193,
7184,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 8-10,,194,
7185,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 10-12,,195,
7186,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 12-14,,196,
7636,זוג גרביון לבן 60 דנייר בדיגום עדין - מידה 14-16,,197,
7187,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 1-3,,198,
7188,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 2-4,,199,
7189,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 4-6,,200,
7190,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 6-8,,201,
7191,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 8-10,,202,
7192,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 10-12,,203,
7193,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 12-14,,204,
7635,זוג גרביון שמנת 60 דנייר בדיגום עדין - מידה 14-16,,205,
5625,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 2,,206,
5626,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 4,,207,
5627,וג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 6,,208,
5628,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 8,,209,
8235,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 10,,210,
8236,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 12,,211,
8229,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 2,,212,
8230,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 4,,213,
8231,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 6,,214,
8232,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 8,,215,
8233,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 10,,216,
8234,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 12,,217,
7637,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 1-3,,218,
7638,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 2-4,,219,
7639,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 4-6,,220,
7640,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 6-8,,221,
7641,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 8-10,,222,
7642,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 10-12,,223,
7643,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 12-14,,224,
7644,זוג גרביון שחור 60 דנייר בדיגום עדין - מידה 14-16,,225,
1949,"פתיל עבה - בד""ץ העד""ח",,1-,
7433,זוג גופיות חצי שרוול איכותיות בגיר - מידה 3XL,,226,
